bucket_name,object_key,version_id,size,etag,last_modified,storage_class,metadata,is_latest
training-99d0b5ce,docs/ffb7b4e7.bin,029e6dcf-e8f7-41e8-98eb-a829b3f7fb05,2010340,f70a56e6f72e4288803841d187315ffd,2025-06-10T23:06:36.370789,STANDARD,"{""content-type"": ""text/plain"", ""origin"": ""upload"", ""checksum"": ""9dd1742e3ebe46fc8e247dcdac459438""}",False
head-3645eeae,logs/c33586fc.bin,be066973-1c8c-42d2-8cd6-95206dd6d15b,556285,00f00b5b25e942b2b3a2146d10f186f8,2025-06-18T23:06:36.370960,GLACIER,"{""content-type"": ""application/json"", ""origin"": ""migration"", ""checksum"": ""19281bd30c3f4739b93823e9fe45888e""}",True
positive-b6568420,images/048fc3e7.bin,40a519f4-fdad-47f6-a29e-db1bc9e08731,4981929,0fd5914320bf4992828230e9af0cff03,2024-12-02T23:06:36.371071,INFREQUENT_ACCESS,"{""content-type"": ""application/json"", ""origin"": ""migration"", ""checksum"": ""3b4ed9fa2449408e9efe7454c43603f0""}",True
determine-5ab52fd3,images/d99cf582.bin,9165e669-1e3b-4574-baf4-368359918cd4,4268725,31f46950cc9e4f9db667a5d1c6922dd9,2025-01-21T23:06:36.371158,STANDARD,"{""content-type"": ""text/plain"", ""origin"": ""upload"", ""checksum"": ""91cf658dc41d4ab09618191832a8e613""}",True
man-635fdee7,images/775dd311.bin,63539b92-08f5-44e5-9fc2-949e179a75f2,1781664,ef2c43106bd642d1a43a919479fab1f4,2025-03-19T23:06:36.371257,DEEP_ARCHIVE,"{""content-type"": ""application/json"", ""origin"": ""upload"", ""checksum"": ""92ea629a44b342209671719d3bef192e""}",False
property-8c78e716,images/24107be5.bin,4b3d327c-706c-4a7c-ac94-bff6945a3595,2077352,e1601a8f8ed744b5998215efca437c5e,2025-05-20T23:06:36.371369,INFREQUENT_ACCESS,"{""content-type"": ""application/json"", ""origin"": ""upload"", ""checksum"": ""715caccfbdfc47e294b180302f494ad6""}",False
medical-514b1fc8,docs/7522da5b.bin,1eb4c86f-0d63-469b-a270-fbf003812697,3128463,8f33785588fa44e0a29022053f366b1f,2024-08-30T23:06:36.371454,DEEP_ARCHIVE,"{""content-type"": ""text/plain"", ""origin"": ""migration"", ""checksum"": ""a23cdb1c2bb5410c800cc7cb3c68b390""}",False
side-f91dceaa,docs/16195fb1.bin,f707ae95-dd55-479f-bbc7-1de5072c065c,479729,6c98b3a9d6994ea3a84f2b286a47f78d,2025-05-11T23:06:36.371531,INFREQUENT_ACCESS,"{""content-type"": ""text/plain"", ""origin"": ""sync"", ""checksum"": ""4681b0a69ae94730a52923d494c120da""}",False
me-d65025f0,docs/8e0f572e.bin,5e12dc79-ca8a-4f0c-b3a6-55bad21fd3b8,1469991,4288181836e04ae196bfaa65bb9b46ee,2025-04-23T23:06:36.371615,DEEP_ARCHIVE,"{""content-type"": ""application/json"", ""origin"": ""upload"", ""checksum"": ""f567a81cd0aa4ea381713a623d61d6e6""}",True
radio-64c25727,images/3f3b9473.bin,66ce1fa3-d885-4040-9f5a-ff1a1c49b33c,3767027,784674f784874021b6ed9bfaba0ad530,2024-11-05T23:06:36.371699,STANDARD,"{""content-type"": ""text/plain"", ""origin"": ""sync"", ""checksum"": ""b4b8b8de40404b1b93677817ec34e6c0""}",False
customer-80ed1c0d,images/a40582f5.bin,7a246014-cd65-4a08-b3d8-ed45116fcb55,4639771,06121b334b4a4a5c8efcccf08bafab03,2025-01-09T23:06:36.371782,DEEP_ARCHIVE,"{""content-type"": ""application/json"", ""origin"": ""migration"", ""checksum"": ""9be3c51908f6495d89ba1309964c9700""}",False
visit-3d1d546c,docs/84c78442.bin,0fcceab1-dc75-44bf-b5b8-d868a671b757,1477932,4df4c87e34a6486b82e335605fe52d20,2024-11-23T23:06:36.371867,STANDARD,"{""content-type"": ""image/png"", ""origin"": ""upload"", ""checksum"": ""1d276430080d41d39cc5cff6987b6b21""}",True
